nome_completo,nome_objeto,x_cartesiano,y_cartesiano,z_cartesiano,latitude,longitude,altitude
ARGO_PARNAIBAIII_V3::TPC9,TPC9,43.185569763183594,166.58834838867188,2.6603615283966064,-3.1217025182501916,-41.76414848213214,79.6603615283966
ARGO_PARNAIBAIII_V3::TPC8,TPC8,50.98405456542969,166.60171508789062,2.6603615283966064,-3.1217023981756387,-41.76407832326416,79.6603615283966
ARGO_PARNAIBAIII_V3::TPC7,TPC7,58.29837417602539,166.61428833007812,2.6603615283966064,-3.1217022852287992,-41.76401252017587,79.6603615283966
ARGO_PARNAIBAIII_V3::TPC6,TPC6,43.76810073852539,-146.71356201171875,0.912790060043335,-3.1245169443227785,-41.764143241407204,77.91279006004333
ARGO_PARNAIBAIII_V3::TPC5,TPC5,51.384971618652344,-146.70046997070312,0.912790060043335,-3.124516826715511,-41.7640747164242,77.91279006004333
ARGO_PARNAIBAIII_V3::TPC4,TPC4,58.853302001953125,-146.68768310546875,0.912790060043335,-3.124516711849672,-41.76400752778195,77.91279006004333
ARGO_PARNAIBAIII_V3::TPC3,TPC3,72.04637145996094,-146.6650390625,0.912790060043335,-3.1245165084357036,-41.76388883667183,77.91279006004333
ARGO_PARNAIBAIII_V3::TPC2,TPC2,79.62799835205078,-146.65203857421875,0.912790060043335,-3.1245163916508645,-41.76382062876046,77.91279006004333
ARGO_PARNAIBAIII_V3::TPC1,TPC1,87.17407989501953,-146.63909912109375,0.912790060043335,-3.124516275414311,-41.76375274063191,77.91279006004333
ARGO_PARNAIBAIII_V3::TC9,TC9,71.75701141357422,18.235519409179688,6.68056058883667,-3.12303518829133,-41.76389143989205,83.68056058883667
ARGO_PARNAIBAIII_V3::TC8,TC8,79.4284896850586,18.248687744140625,6.68056058883667,-3.1230350699987053,-41.763822423635055,83.68056058883667
ARGO_PARNAIBAIII_V3::TC7,TC7,86.81294250488281,18.2613525390625,6.68056058883667,-3.123034956229437,-41.763755989595154,83.68056058883667
ARGO_PARNAIBAIII_V3::TC6,TC6,43.67547607421875,-17.51519203186035,6.68056058883667,-3.1233563409273435,-41.764144074702614,83.68056058883667
ARGO_PARNAIBAIII_V3::TC5,TC5,51.12446975708008,-17.502410888671875,6.68056058883667,-3.123356226112906,-41.764077060022494,83.68056058883667
ARGO_PARNAIBAIII_V3::TC4,TC4,58.55341339111328,-17.489662170410156,6.68056058883667,-3.1233561115897452,-41.76401022572213,83.68056058883667
ARGO_PARNAIBAIII_V3::TC3,TC3,71.8182601928711,-17.466901779174805,6.68056058883667,-3.123355907130607,-41.763890888868985,83.68056058883667
ARGO_PARNAIBAIII_V3::TC2,TC2,79.48973846435547,-17.453739166259766,6.68056058883667,-3.123355788889384,-41.763821872611985,83.68056058883667
ARGO_PARNAIBAIII_V3::TC15,TC15,43.570213317871094,43.83934783935547,6.68056058883667,-3.122805186239316,-41.764145021696294,83.68056058883667
ARGO_PARNAIBAIII_V3::TC14,TC14,51.01920700073242,43.85212707519531,6.68056058883667,-3.1228050714420124,-41.764078007016174,83.68056058883667
ARGO_PARNAIBAIII_V3::TC13,TC13,58.44813537597656,43.86487579345703,6.68056058883667,-3.1228049569188516,-41.76401117285308,83.68056058883667
ARGO_PARNAIBAIII_V3::TC12,TC12,43.614227294921875,18.187232971191406,6.68056058883667,-3.123035622053798,-41.76414462572568,83.68056058883667
ARGO_PARNAIBAIII_V3::TC11,TC11,51.06321334838867,18.200016021728516,6.68056058883667,-3.1230355072222267,-41.7640776111142,83.68056058883667
ARGO_PARNAIBAIII_V3::TC10,TC10,58.492156982421875,18.21276092529297,6.68056058883667,-3.1230353927333336,-41.764010776813834,83.68056058883667
ARGO_PARNAIBAIII_V3::TC1,TC1,86.87420654296875,-17.44106674194336,6.68056058883667,-3.1233556750515805,-41.763755438434806,83.68056058883667
ARGO_PARNAIBAIII_V3::SECV9,SECV9,71.50696563720703,1.9031238555908203,2.6603615283966064,-3.1231819040257314,-41.763893689422446,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV8,SECV8,79.11603546142578,1.9161796569824219,2.6603615283966064,-3.1231817867440084,-41.76382523462144,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV7,SECV7,86.64043426513672,1.9290904998779297,2.6603615283966064,-3.123181670764464,-41.76375754156109,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV6,SECV6,43.63932418823242,-63.63078689575195,2.6603615283966064,-3.123770602469419,-41.764144399942126,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV5,SECV5,51.248382568359375,-63.617740631103516,2.6603615283966064,-3.123770485273366,-41.76407594524407,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV4,SECV4,58.85746383666992,-63.604679107666016,2.6603615283966064,-3.1237703679402413,-41.76400749034011,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV3,SECV3,71.61933135986328,-63.58278274536133,2.6603615283966064,-3.123770171242772,-41.763892678527114,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV2,SECV2,79.2284164428711,-63.56972122192383,2.6603615283966064,-3.1237700539096473,-41.763824223588834,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV15,SECV15,43.37459182739258,90.65055847167969,2.6603615283966064,-3.1223846759030573,-41.764146781600004,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV14,SECV14,50.98365020751953,90.66361999511719,2.6603615283966064,-3.1223845585699324,-41.76407832690195,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV13,SECV13,58.59272384643555,90.67666625976562,2.6603615283966064,-3.1223844413738795,-41.76400987206663,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV12,SECV12,43.52695083618164,1.8551101684570312,2.6603615283966064,-3.1231823353380483,-41.764145410906096,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV11,SECV11,51.136024475097656,1.8681678771972656,2.6603615283966064,-3.1231822180391915,-41.764076956070774,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV10,SECV10,58.74509048461914,1.8812236785888672,2.6603615283966064,-3.123182100757469,-41.76400850130408,79.6603615283966
ARGO_PARNAIBAIII_V3::SECV1,SECV1,86.75279998779297,-63.55680465698242,2.6603615283966064,-3.123769937878701,-41.76375653066576,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH9,SECH9,71.6035385131836,-10.895325660705566,2.6603615283966064,-3.123296873927962,-41.763892820607055,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH8,SECH8,79.18032836914062,-10.88232421875,2.6603615283966064,-3.123296757134556,-41.76382465621195,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH7,SECH7,86.85742950439453,-10.86915111541748,2.6603615283966064,-3.1232966387990966,-41.763755589369005,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH6,SECH6,43.75393295288086,-82.76679992675781,1.5444133281707764,-3.1239425034129247,-41.76414336886732,78.54441332817078
ARGO_PARNAIBAIII_V3::SECH5,SECH5,51.2734260559082,-82.75389099121094,1.5444133281707764,-3.123942387450514,-41.76407571994098,78.54441332817078
ARGO_PARNAIBAIII_V3::SECH4,SECH4,58.881202697753906,-82.7408447265625,1.5444133281707764,-3.1239422702544606,-41.76400727677406,78.54441332817078
ARGO_PARNAIBAIII_V3::SECH3,SECH3,71.72676849365234,-82.71878051757812,1.5444133281707764,-3.1239420720492057,-41.7638917119717,78.54441332817078
ARGO_PARNAIBAIII_V3::SECH24,SECH24,43.42551803588867,108.62818145751953,2.6603615283966064,-3.1222231809067775,-41.764146323443676,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH23,SECH23,50.945011138916016,108.6410903930664,2.6603615283966064,-3.122223064944367,-41.76407867451734,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH22,SECH22,58.55279541015625,108.6541519165039,2.6603615283966064,-3.122222947611242,-41.76401023128178,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH21,SECH21,43.550594329833984,35.73613739013672,2.6603615283966064,-3.1228779782843143,-41.764145198198015,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH20,SECH20,51.0700798034668,35.74903869628906,2.6603615283966064,-3.1228778623904394,-41.764077549340314,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH2,SECH2,79.30357360839844,-82.70579528808594,1.5444133281707764,-3.1239419554014383,-41.76382354743932,78.54441332817078
ARGO_PARNAIBAIII_V3::SECH19,SECH19,58.67787170410156,35.76209259033203,2.6603615283966064,-3.1228777451258503,-41.76400910603611,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH18,SECH18,43.5692253112793,24.87554931640625,2.6603615283966064,-3.1229755401606503,-41.76414503058487,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH17,SECH17,51.08871078491211,24.888446807861328,2.6603615283966064,-3.1229754243010435,-41.76407738172717,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH16,SECH16,58.696502685546875,24.901500701904297,2.6603615283966064,-3.1229753070364543,-41.76400893842297,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH15,SECH15,71.54206085205078,24.92354965209961,2.6603615283966064,-3.1229751089682707,-41.76389337368925,79.6603615283966
