timestamp(ms),RCOU.C1,RCOU.C2,RCOU.C3,RCOU.C4,GPS[0].Spd,IMU[0].GyrZ
0,1180,1900,1900,1180,0.0016548683141670026,0.0
0,1180,1900,1900,1180,0.0044325414130208735,0.0
0,1180,1900,1900,1180,-0.0029989111838873814,0.0
20,1180,1900,1900,1180,0.03510762190351233,0.0
20,1180,1900,1900,1180,0.0393118438463293,0.0
20,1180,1900,1900,1180,0.039218421148939836,0.0
39,1180,1900,1900,1180,0.14656105230687155,0.0
39,1180,1900,1900,1180,0.15150788637645698,0.0
39,1180,1900,1900,1180,0.15216588378216517,0.0
59,1180,1900,1900,1180,0.25294542326164626,0.0
59,1180,1900,1900,1180,0.25693149588266473,0.0
59,1180,1900,1900,1180,0.236987291437386,0.0
79,1180,1900,1900,1180,0.3135648914135596,0.0
79,1180,1900,1900,1180,0.3166048045888456,0.0
79,1180,1900,1900,1180,0.3050871839025709,0.0
100,1180,1900,1900,1180,0.39519774502200455,0.0
100,1180,1900,1900,1180,0.3964140844606153,0.0
100,1180,1900,1900,1180,0.39382965940907044,0.0
120,1180,1900,1900,1180,0.48028893978565884,0.0
120,1180,1900,1900,1180,0.48265896016685284,0.0
120,1180,1900,1900,1180,0.4731669636694925,0.0
139,1180,1900,1900,1180,0.5647833351515006,0.0
139,1180,1900,1900,1180,0.5650966020387282,0.0
139,1180,1900,1900,1180,0.5556555833880343,0.0
160,1180,1900,1900,1180,0.6435059265960726,0.0
160,1180,1900,1900,1180,0.645310137960819,0.0
160,1180,1900,1900,1180,0.6395529419097692,0.0
179,1180,1900,1900,1180,0.7095920653986362,0.0
179,1180,1900,1900,1180,0.7114724891477602,0.0
179,1180,1900,1900,1180,0.7058603346102724,0.0
199,1180,1900,1900,1180,0.7850524679649753,0.0
199,1180,1900,1900,1180,0.7860101129761248,0.0
199,1180,1900,1900,1180,0.7762663236817211,0.0
219,1180,1900,1900,1180,0.8482342425878457,0.0
219,1180,1900,1900,1180,0.8512703422316079,0.0
219,1180,1900,1900,1180,0.8482152657962421,0.0
240,1180,1900,1900,1180,0.9233024302276824,0.0
240,1180,1900,1900,1180,0.9251219300944902,0.0
