% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=1020556, Wed Apr 16 17:20:07 2025, <python>{}</python>
1 100 0.19513364847880296 1.000045455578528 910.7322489456249 9.1073224894562486e+02 3144.815296264194 23004.913877165523 1713.1573271323496   
2 200 0.19339953205892527 1.4221792867884813 910.7322489456249 1.0199694385366571e+03 2995.317990572395 22501.23511149751 1942.5630880252902   
3 300 0.17931228847219438 1.7556860417234834 910.7322489456249 9.5183838911042642e+02 2712.293191475095 14783.803714364376 1675.8085846056647   
4 400 0.16637993021116765 2.0916279714861687 883.7858325942491 8.8378583259424909e+02 2392.8844312367974 10025.871611693647 1449.4895638557023   
5 500 0.15682371574902923 2.4927382910634703 883.7858325942491 9.4184303818093940e+02 1933.0309310758962 9811.974278050655 971.3863910394634   
6 600 0.14793130179205766 3.069391444442591 883.7858325942491 8.9287122173593048e+02 1694.5075652395255 6340.540852259013 1186.43526948217   
7 700 0.13900333543180374 4.01370289976603 883.7858325942491 9.1377633383197826e+02 1422.3252427293871 3330.601242105711 697.2991053065043   
8 800 0.12904823898614473 4.524431581532547 883.7858325942491 8.8994127112660362e+02 1204.0842009511568 2596.030221781828 425.24696950604834   
9 900 0.12404828725010261 5.189541710360433 883.7858325942491 8.9917480594406834e+02 1211.0006321172843 2557.3841127191295 428.2011435727545   
10 1000 0.11979838639907824 6.470043303388191 881.4661499087972 8.8146614990879721e+02 1109.384154505634 2543.5127386747095 341.98495134999973   
11 1100 0.11530151780187214 7.949475842141655 881.4661499087972 8.8176516144221148e+02 1059.7224955535658 2072.3812028553193 316.00892983590825   
12 1200 0.11765306312757594 8.943460533050356 877.4952918460563 8.7749529184605626e+02 992.2693723657194 1564.2573310344715 191.47905629320394   
13 1300 0.12705744391618992 10.810600287984407 874.3034306934808 8.7430343069348078e+02 977.164886522057 2108.1310734665713 201.6439562436624   
14 1400 0.12465820952593389 13.715096430702124 874.3034306934808 8.7769565685546661e+02 966.5776736473072 1548.554264100772 129.1342435348845   
15 1500 0.10584677268807752 15.706159152643341 874.3034306934808 8.7883828452823650e+02 938.3985757125331 1623.5857003981314 90.90188936646803   
16 1600 0.105831358816884 17.543309032580016 873.8638263766081 8.7386382637660813e+02 909.6702898969088 1884.8256611847874 63.229452119699204   
17 1700 0.11571744011219011 20.170380376672494 866.7419023126463 8.6674190231264629e+02 901.7749821399533 1157.9921278588588 37.99943223588218   
18 1800 0.12520242739462165 22.43581328138853 866.7419023126463 8.7291712685572145e+02 896.9567969371025 1285.1158723887477 42.52324749317677   
19 1900 0.1353481926893141 27.518085748397972 864.746681198054 8.6474668119805403e+02 903.3298755634286 1318.5585386304444 38.20972220150861   
20 2000 0.14793491425919322 31.43577410746129 861.9066549429733 8.6190665494297332e+02 902.599685158102 1689.0307304969579 43.149373381617806   
21 2100 0.14528664019297022 37.71616223479207 860.1086777353989 8.6010867773539894e+02 888.4174239950524 1123.3501550401484 34.54919707919407   
22 2200 0.15743722234853322 42.28122458177452 856.5748412422662 8.5657484124226619e+02 891.0707106261472 1106.8608247092384 57.177956368109335   
23 2300 0.17020410741350545 53.392904131802524 850.3217059760615 8.5032170597606148e+02 883.1723734947444 1122.360192700363 29.670537280912185   
24 2400 0.17357770994499538 62.706912358179046 850.3217059760615 8.5224606328970174e+02 879.101082283473 1056.479640780764 37.449350495631734   
25 2500 0.18515070236241407 70.22622837201041 848.578829172231 8.4857882917223105e+02 877.5850490504098 1062.4129649978618 29.906203834301436   
26 2600 0.18089091475424848 80.27206231073454 848.5386766813086 8.4853867668130863e+02 875.232085480705 1311.2504505467864 36.27187654753334   
27 2700 0.19364787438070247 86.55015497710959 844.30056297089 8.4430056297089004e+02 873.465644638577 1075.1789900997392 27.192153897391677   
28 2800 0.18424800044973302 90.5265147000702 844.30056297089 8.4782891433902603e+02 872.6293043953278 1045.9643948929759 29.902395098003353   
29 2900 0.19747097938643488 97.1811134068187 844.30056297089 8.4595376881272455e+02 863.823722359179 993.1941126682085 21.838163045069905   
30 3000 0.18601713311514873 113.27844245792465 844.30056297089 8.4676658602764837e+02 865.2065837523731 1131.4361126104748 19.558195285609713   
