% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=1020556, Wed Apr 16 17:20:07 2025, <python>{}</python>
1 100 0.19513364847880296 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
2 200 0.19339953205892527 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
3 300 0.17931228847219438 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
4 400 0.16637993021116765 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
5 500 0.15682371574902923 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
6 600 0.14793130179205766 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
7 700 0.13900333543180374 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
8 800 0.12904823898614473 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
9 900 0.12404828725010261 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
10 1000 0.11979838639907824 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
11 1100 0.11530151780187214 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
12 1200 0.11765306312757594 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
13 1300 0.12705744391618992 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
14 1400 0.12465820952593389 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
15 1500 0.10584677268807752 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
16 1600 0.105831358816884 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
17 1700 0.11571744011219011 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
18 1800 0.12520242739462165 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
19 1900 0.1353481926893141 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
20 2000 0.14793491425919322 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
21 2100 0.14528664019297022 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
22 2200 0.15743722234853322 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
23 2300 0.17020410741350545 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
24 2400 0.17357770994499538 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
25 2500 0.18515070236241407 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
26 2600 0.18089091475424848 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
27 2700 0.19364787438070247 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
28 2800 0.18424800044973302 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
29 2900 0.19747097938643488 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
30 3000 0.18601713311514873 1 0 0.165 1.0 1.0 1.0 0.16499700002727255 1.0 1.0 1.0 1.0 1.0 1.0
