Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP35,-3.1222869485765266,-41.76390651306658,72.0,"[(-3.1222916514765604, -41.76391302574936), (-3.1222822456764927, -41.763900000383806)]","[(-3.1222916514765604, -41.76391302574936), (-3.1222822456764927, -41.763900000383806)]",101.52851,70.08083,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip35
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP34,-3.122369493834398,-41.76390637123271,72.0,"[(-3.122374196734432, -41.76391288391549), (-3.122364790934365, -41.76389985854993)]","[(-3.122374196734432, -41.76391288391549), (-3.122364790934365, -41.76389985854993)]",92.33967,70.0966,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip34
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP33,-3.122453838173156,-41.76390622624088,72.0,"[(-3.1224585410731898, -41.76391273892366), (-3.1224491352731225, -41.7638997135581)]","[(-3.1224585410731898, -41.76391273892366), (-3.1224491352731225, -41.7638997135581)]",82.95055,70.11271,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip33
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP32,-3.122542846003644,-41.76390585014215,76.0,"[(-3.122547548903677, -41.76391236282493), (-3.12253814310361, -41.76389933745937)]","[(-3.122547548903677, -41.76391236282493), (-3.12253814310361, -41.76389933745937)]",73.04231,70.15452,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip32
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP31,-3.122197846268996,-41.76485328614853,72.0,"[(-3.1222025491690295, -41.76485979883131), (-3.1221931433689623, -41.76484677346575)]","[(-3.1222025491690295, -41.76485979883131), (-3.1221931433689623, -41.76484677346575)]",111.44728,-35.15631,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip31
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP30,-3.1222444822836013,-41.76485320599797,72.0,"[(-3.1222491851836347, -41.76485971868075), (-3.1222397793835674, -41.7648466933152)]","[(-3.1222491851836347, -41.76485971868075), (-3.1222397793835674, -41.7648466933152)]",106.25581,-35.1474,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip30
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP3,-3.1223698907712434,-41.765506759934674,76.0,"[(-3.122374593671277, -41.765513272617454), (-3.1223651878712095, -41.7655002472519)]","[(-3.122374593671277, -41.765513272617454), (-3.1223651878712095, -41.7655002472519)]",92.29548,-107.79221,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip3
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP29,-3.122286468513687,-41.76485313377668,72.0,"[(-3.1222911714137207, -41.764859646459456), (-3.1222817656136534, -41.764846621093895)]","[(-3.1222911714137207, -41.764859646459456), (-3.1222817656136534, -41.764846621093895)]",101.58195,-35.13938,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip29
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP28,-3.1223262177151967,-41.76485306546849,72.0,"[(-3.1223309206152305, -41.764859578151274), (-3.122321514815163, -41.76484655278571)]","[(-3.1223309206152305, -41.764859578151274), (-3.122321514815163, -41.76484655278571)]",97.15712,-35.13178,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip28
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP27,-3.1223677307698754,-41.764852994139645,72.0,"[(-3.1223724336699092, -41.764859506822425), (-3.1223630278698415, -41.76484648145687)]","[(-3.1223724336699092, -41.764859506822425), (-3.1223630278698415, -41.76484648145687)]",92.53593,-35.12386,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip27
