Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::CABEAMENTO1.6,-3.123591263943532,-41.76544762751585,98.0,"[(-3.1235957555460088, -41.76545212579966), (-3.1235867723410555, -41.76544312923203)]","[(-3.1235957555460088, -41.76545212579966), (-3.1235867723410555, -41.76544312923203)]",-43.6663691375683,-101.2194376343557,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.6
ARGO_PARNAIBAIII_V3::CABEAMENTO1.5,-3.12365958354329,-41.76544751012188,98.0,"[(-3.123664075145767, -41.765452008405695), (-3.1236550919408135, -41.76544301183807)]","[(-3.123664075145767, -41.765452008405695), (-3.1236550919408135, -41.76544301183807)]",-51.27162807495483,-101.20638888434743,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.5
ARGO_PARNAIBAIII_V3::CABEAMENTO1.4,-3.1237279657167947,-41.76544739259062,98.0,"[(-3.1237324573192717, -41.76545189087444), (-3.123723474114318, -41.76544289430681)]","[(-3.1237324573192717, -41.76545189087444), (-3.123723474114318, -41.76544289430681)]",-58.8838526495434,-101.1933248732738,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.4
ARGO_PARNAIBAIII_V3::CABEAMENTO1.3,-3.123842622066903,-41.76544719542372,98.0,"[(-3.1238471136693797, -41.76545169370753), (-3.1238381304644265, -41.7654426971399)]","[(-3.1238471136693797, -41.76545169370753), (-3.1238381304644265, -41.7654426971399)]",-71.64726511796806,-101.17140908116198,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.3
ARGO_PARNAIBAIII_V3::CABEAMENTO1.2,-3.123910349683379,-41.76544707899089,98.0,"[(-3.1239148412858557, -41.7654515772747), (-3.1239058580809025, -41.765442580707074)]","[(-3.1239148412858557, -41.7654515772747), (-3.1239058580809025, -41.765442580707074)]",-79.18662516012583,-101.1584671642126,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.2
ARGO_PARNAIBAIII_V3::CABEAMENTO1.1,-3.1239786467003885,-41.76544696173421,98.0,"[(-3.123983138302865, -41.76545146001802), (-3.123974155097912, -41.7654424634504)]","[(-3.123983138302865, -41.76545146001802), (-3.123974155097912, -41.7654424634504)]",-86.7893702120193,-101.14543367381496,1.0,1.0,ef_argo_parnaibaiii_v3_cabeamento1.1
ARGO_PARNAIBAIII_V3::BUSIP9,-3.1236173059664183,-41.76492713081682,79.0,"[(-3.1236220088664517, -41.7649336434996), (-3.1236126030663844, -41.76492061813405)]","[(-3.1236220088664517, -41.7649336434996), (-3.1236126030663844, -41.76492061813405)]",-46.56533704724583,-43.36440662717023,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip9
ARGO_PARNAIBAIII_V3::BUSIP8,-3.1236586715650008,-41.76492705969394,79.0,"[(-3.123663374465034, -41.76493357237672), (-3.123653968664967, -41.764920547011165)]","[(-3.123663374465034, -41.76493357237672), (-3.123653968664967, -41.764920547011165)]",-51.170107705062975,-43.35650106962031,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip8
ARGO_PARNAIBAIII_V3::BUSIP7,-3.123704268978777,-41.76492698122537,79.0,"[(-3.123708971878811, -41.764933493908146), (-3.1236995660787437, -41.76492046854259)]","[(-3.123708971878811, -41.764933493908146), (-3.1236995660787437, -41.76492046854259)]",-56.24595914264261,-43.347779012908745,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip7
ARGO_PARNAIBAIII_V3::BUSIP6,-3.1237415109811644,-41.76492691731087,79.0,"[(-3.1237462138811978, -41.76493342999364), (-3.1237368080811305, -41.764920404628086)]","[(-3.1237462138811978, -41.76493342999364), (-3.1237368080811305, -41.764920404628086)]",-60.39169583465711,-43.34067469179455,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip6
ARGO_PARNAIBAIII_V3::BUSIP5,-3.123784209818622,-41.76492684385384,79.0,"[(-3.1237889127186556, -41.764933356536616), (-3.1237795069185883, -41.76492033117106)]","[(-3.1237889127186556, -41.764933356536616), (-3.1237795069185883, -41.76492033117106)]",-65.14488110420588,-43.33250968632942,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip5
ARGO_PARNAIBAIII_V3::BUSIP47,-3.123431209366089,-41.763827751336414,77.0,"[(-3.123435912266123, -41.763834264019195), (-3.1234265064660556, -41.76382123865364)]","[(-3.123435912266123, -41.763834264019195), (-3.1234265064660556, -41.76382123865364)]",-25.8492784361899,78.83547292495554,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip47
ARGO_PARNAIBAIII_V3::BUSIP46,-3.123528187707534,-41.76382758451346,79.0,"[(-3.1235328906075672, -41.76383409719623), (-3.1235234848075, -41.76382107183068)]","[(-3.1235328906075672, -41.76383409719623), (-3.1235234848075, -41.76382107183068)]",-36.64479539790417,78.85401588158632,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip46
ARGO_PARNAIBAIII_V3::BUSIP45,-3.123574655465241,-41.76382750474047,79.0,"[(-3.1235793583652742, -41.76383401742325), (-3.123569952565207, -41.76382099205769)]","[(-3.1235793583652742, -41.76383401742325), (-3.123569952565207, -41.76382099205769)]",-41.81753251658876,78.86288292845575,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip45
ARGO_PARNAIBAIII_V3::BUSIP44,-3.1236168671115947,-41.76382743224454,79.0,"[(-3.123621570011628, -41.76383394492732), (-3.123612164211561, -41.76382091956176)]","[(-3.123621570011628, -41.76383394492732), (-3.123612164211561, -41.76382091956176)]",-46.51648423514706,78.87094110467419,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip44
