Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
talude_echo_fox_2,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123286165547735, -41.76548806314825), (-3.123269175547735, -41.76543208114824)]","[(-3.123286165547735, -41.76548806314825), (-3.123269175547735, -41.76543208114824)]",-26.15615,118.9445,0.849499999999999,2.7990999999999993,ef_talude_echo_fox_2
talude_echo_fox_3,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123284140547735, -41.76547737014825), (-3.1232712005477348, -41.76544277414824)]","[(-3.123284140547735, -41.76547737014825), (-3.1232712005477348, -41.76544277414824)]",-17.577575,118.88475,0.6469999999999985,1.7297999999999991,ef_talude_echo_fox_3
talude_fox,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123302022547735, -41.76577286264824), (-3.123253318547735, -41.76514728164825)]","[(-3.123302022547735, -41.76577286264824), (-3.123253318547735, -41.76514728164825)]",-64.687775,-72.78302500000001,2.4351999999999947,31.27905,ef_talude_fox
talude_echo_fox_5,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123407665547735, -41.765484589648246), (-3.123147675547735, -41.76543555464824)]","[(-3.123407665547735, -41.765484589648246), (-3.123147675547735, -41.76543555464824)]",-32.317,-141.65625,12.999499999999998,2.4517499999999988,ef_talude_echo_fox_5
talude_bravo,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123339318047735, -41.76547506214824), (-3.123216023047735, -41.76544508214825)]","[(-3.123339318047735, -41.76547506214824), (-3.123216023047735, -41.76544508214825)]",125.2925,-70.693375,6.164750000000005,1.4989999999999952,ef_talude_bravo
talude_bravo_2,-3.123277670547735,-41.765460072148244,77.0,"[(-3.123301995547735, -41.765651081648244), (-3.123253345547735, -41.765269062648244)]","[(-3.123301995547735, -41.765651081648244), (-3.123253345547735, -41.765269062648244)]",99.4184,-74.3254,2.4325000000000045,19.100949999999997,ef_talude_bravo_2
talude_bravo_3,-3.123277670547735,-41.765460072148244,77.0,"[(-3.124158346047735, -41.76549137214825), (-3.122396995047735, -41.76542877214824)]","[(-3.124158346047735, -41.76549137214825), (-3.122396995047735, -41.76542877214824)]",77.84765000000002,11.411375,88.06755000000001,3.1300000000000026,ef_talude_bravo_3
talude_echo_fox1,-3.123277670547735,-41.765460072148244,77.0,"[(-3.125652900547735, -41.76550457714824), (-3.120902440547735, -41.765415567148246)]","[(-3.125652900547735, -41.76550457714824), (-3.120902440547735, -41.765415567148246)]",-31.358175000000003,0.7434999999999974,237.52300000000002,4.450500000000002,ef_talude_echo_fox1
