timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
0,0.006000000052,63.03,0.00002493804459
100,0.006000000052,63.08,0.02336701751
200,1.007000089,62.94,-0.02626427822
300,1.007000089,63.12,0.02951269411
400,1.1450001,63.06,0.0008998797857
500,1.1450001,63.06,0.005792328157
600,1.34100008,62.97,-0.0111609092
700,1.34100008,63.33,0.05768470839
800,1.271000028,62.97,-0.04158141837
900,1.271000028,63.23,0.04036177322
1000,1.353000045,63.52,0.06021074951
1100,1.353000045,63.9,0.06827092171
1200,1.261000037,64.51,0.0977422744
1300,1.261000037,64.76,0.04510264844
1400,1.264000058,65.32,0.08772225678
1500,1.264000058,65.89,0.09640497714
1600,1.22300005,66.96,0.1695089042
1700,1.22300005,67.76,0.1643790007
1800,1.369000077,68.24,0.07816716284
1900,1.369000077,68.55,0.07518362999
2000,1.98300004,67.72,-0.1230078563
2100,1.98300004,66.44,-0.2213658094
2200,0.9770000577,66.02,-0.09169762582
2300,0.9770000577,65.82,-0.0276261121
2400,0.6270000339,64.98,-0.138747409
2500,0.6270000339,64.39,-0.1135916263
2600,1.13500011,63.36,-0.1645631194
2700,1.13500011,62.21,-0.1755110472
2800,1.171000004,61.07,-0.1709044576
2900,1.171000004,60.39,-0.06843044609
3000,1.077000022,59.23,-0.163914755
3100,1.077000022,57.72,-0.2507663369
3200,1.046000004,55.92,-0.2772419453
3300,1.046000004,54.25,-0.2781063914
3400,1.032999992,52.42,-0.3145792186
3500,1.032999992,51.65,-0.1311306953
3600,1.030000091,50.04,-0.2448068857
3700,1.030000091,49.03,-0.188759163
3800,0.3340000212,47.62,-0.2330012918
3900,0.3340000212,47.17,-0.09358837456
4000,0.7950000167,46.77,-0.07028522342
4100,0.7950000167,46.4,-0.06912484765
4200,1.210000038,45.88,-0.08765779436
4300,1.210000038,45.72,-0.03833278269
4400,1.499000072,45.39,-0.05994275957
4500,1.499000072,45.13,-0.03482517228
4600,1.5200001,44.82,-0.05570288002
4700,1.5200001,44.91,0.0245607309
4800,1.437000036,44.76,-0.01092408411
4900,1.437000036,44.66,-0.01394275483
5000,1.463000059,44.54,-0.02124924026
5100,1.463000059,44.45,-0.02042398416
5200,1.252000093,44.75,0.05959662423
5300,1.252000093,44.65,-0.009043831378
5400,1.413000107,44.92,0.03654676303
5500,1.413000107,44.86,-0.004695337731
5600,1.332000017,44.87,-0.005471513607
5700,1.332000017,44.73,-0.01361246128
5800,0.851000011,43.96,-0.1470540315
5900,0.851000011,43.24,-0.1219313219
6000,1.516000032,43.81,0.07650023699
6100,1.516000032,44.24,0.07875404507
6200,0.7490000129,44.65,0.06657838076
6300,0.7490000129,45.01,0.0570361875
6400,1.066000104,45.59,0.09427863359
6500,1.066000104,46.23,0.1033522859
6600,1.396000028,46.65,0.07636257261
6700,1.396000028,47.57,0.1408598274
6800,1.350000024,48.42,0.1561490595
6900,1.350000024,49.33,0.1592312604
7000,1.317000031,50.24,0.1620813459
7100,1.317000031,50.87,0.1109842062
7200,1.415000081,51.87,0.1685419977
7300,1.415000081,52.01,0.05821751058
7400,0.2390000075,50.69,-0.2190327793
7500,0.2390000075,49.46,-0.2240692079
7600,0.9670000672,47.62,-0.3028436601
7700,0.9670000672,45.86,-0.3256182671
7800,1.122000098,44.88,-0.1825008541
7900,1.122000098,44.21,-0.1145199835
8000,1.31400001,43.63,-0.114585802
8100,1.31400001,43.47,-0.0312882103
8200,1.366000056,42.97,-0.08148138225
8300,1.366000056,42.39,-0.1027996689
8400,1.577000022,42.07,-0.06656233966
8500,1.577000022,41.46,-0.09900581092
8600,1.08100009,40.99,-0.09193144739
8700,1.08100009,40.48,-0.09708995372
8800,1.452000022,39.84,-0.1256581396
8900,1.452000022,39.44,-0.08284394443
9000,1.522000074,39.3,-0.0276212357
9100,1.522000074,38.87,-0.08478885889
9200,1.40200007,38.8,-0.0147522036
9300,1.40200007,38.55,-0.04586507007
9400,1.234000087,39.19,0.08280064166
