timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
0,0.01600000076,60.04,-0.004347933456
100,0.01100000087,60.23,0.01866190694
200,0.01100000087,60.28,0.006071146578
300,0.02200000174,60.3,-0.002943538595
400,0.02200000174,60.35,0.003843063256
500,0.006000000052,60.39,-0.00005922560376
600,0.006000000052,60.42,0.001141077257
700,0.01700000092,60.46,0.0004149060987
800,0.01700000092,60.48,-0.001091594575
900,0.007000000216,60.52,0.0007258120459
1000,0.007000000216,60.57,0.003071645275
1100,0.01100000087,60.61,-0.0007492564037
1200,0.01100000087,60.7,0.003894825466
1300,0.01400000043,60.72,-0.001623977092
1400,0.01400000043,60.74,-0.01033495087
1500,0.01400000043,60.77,-0.004754689522
1600,0.01400000043,60.94,0.01594266482
1700,0.0120000001,61.23,0.04565878585
1800,0.0120000001,60.98,-0.03494058922
1900,0.1850000024,60.06,-0.172373727
2000,0.1850000024,59.94,-0.02903571352
2100,0.2780000269,60.02,-0.001540959463
2200,0.2780000269,59.85,-0.0248195827
2300,0.4750000238,60.03,0.02018718049
2400,0.4750000238,59.73,-0.03866603225
2500,0.5430000424,59.13,-0.1173340157
2600,0.5430000424,59.83,0.09062134475
2700,0.9520000219,61.14,0.2208387852
2800,0.9520000219,62.55,0.2646050751
2900,0.8860000372,62.71,0.03013739549
3000,0.8860000372,63.07,0.04533934593
3100,0.9890000224,63.37,0.08485236019
3200,0.9890000224,62.91,-0.08701653779
3300,0.9240000248,62.27,-0.09353820235
3400,0.9240000248,60.69,-0.2565964162
3500,0.8630000353,58.42,-0.3986074924
3600,0.8630000353,56.9,-0.293641299
3700,1.141000032,57.81,0.1489619762
3800,1.141000032,58.88,0.2022710145
3900,0.201000005,57.77,-0.1185525134
4000,0.201000005,54.68,-0.5387813449
4100,0.7250000238,51.83,-0.5115407705
4200,0.7250000238,49.72,-0.4132370651
4300,1.092000008,49.28,-0.04860113561
4400,1.092000008,46.96,-0.388648212
4500,1.175999999,45.76,-0.2237379998
4600,1.175999999,43.5,-0.3465412557
4700,1.29400003,42.02,-0.2984136343
4800,1.29400003,40.6,-0.2303479761
4900,1.31400001,39.34,-0.2112735063
5000,1.31400001,38.24,-0.1834658533
5100,1.353000045,37.52,-0.1401804686
5200,1.353000045,35.89,-0.2515862882
5300,1.289000034,34.02,-0.3397446871
5400,1.289000034,32.12,-0.3263938129
5500,1.408000112,30.83,-0.2451077998
5600,1.408000112,29.54,-0.2277058512
5700,0.6920000315,28.45,-0.1956404895
5800,0.6920000315,27.69,-0.1728027016
5900,0.4100000262,26.86,-0.1587101221
6000,0.4100000262,27.35,0.06966454536
6100,1.11500001,27.31,-0.002955303062
6200,1.11500001,27.42,0.004242178053
6300,1.140000105,27.44,0.01913054474
6400,1.140000105,26.78,-0.09268940985
6500,1.06400001,25.72,-0.1754838824
6600,1.06400001,25.01,-0.1136795953
6700,1.158000112,25.31,0.03508789092
6800,1.158000112,25.79,0.09485667199
6900,1.184000015,27.37,0.2616229653
7000,1.184000015,28.5,0.2276026905
7100,1.143000007,28.32,0.005586893298
7200,1.143000007,28.5,0.00261466275
7300,0.08200000226,28.46,0.01266852207
7400,0.08200000226,28.26,-0.04073907807
7500,0.9760000706,27.82,-0.07744251937
7600,0.9760000706,27.71,-0.02500509471
7700,1.242000103,27.86,0.01421686262
7800,1.242000103,27.67,-0.02337016352
7900,1.316000104,28.26,0.08104567975
