timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
0,0.08700000495,52.41,0.0003406683682
100,0.08700000495,52.13,-0.04992680997
200,1.087000012,53.78,0.2579035759
300,1.087000012,55.21,0.2781061232
400,1.416000009,56.23,0.1771030277
500,1.416000009,57.5,0.2322469503
600,1.57400012,59.02,0.2693636715
700,1.57400012,60.29,0.2466453463
800,1.604000092,61.68,0.2568822205
900,1.604000092,63.75,0.3906872272
1000,1.624000072,65.2,0.2834099531
1100,1.624000072,66.48,0.2226371765
1200,1.582000017,67.71,0.2296109498
1300,1.582000017,69.28,0.2777564526
1400,1.695000052,70.9,0.304798305
1500,1.695000052,72.37,0.2688084245
1600,1.560000062,73.81,0.2653673887
1700,1.560000062,74.89,0.210206762
1800,1.47300005,75.88,0.1990081966
1900,1.47300005,75.57,-0.01904310286
2000,0.2120000124,76.84,0.1899047047
2100,0.2120000124,78.91,0.3789488673
2200,0.5600000024,80.7,0.3420312405
2300,0.5600000024,81.95,0.2312736064
2400,0.9020000696,83.79,0.3162475228
2500,0.9020000696,86.2,0.4435374141
2600,0.9510000348,88.7,0.4741314352
2700,0.9510000348,91.15,0.4624041319
2800,0.9980000257,92.83,0.3398294747
2900,0.9980000257,94.88,0.3594535589
3000,0.9980000257,98.15,0.5920553207
3100,0.9980000257,101.32,0.5871796608
3200,1.060000062,104.75,0.60779953
3300,1.060000062,108.63,0.6857590675
3400,1.05400002,113.02,0.7754154205
3500,1.05400002,117.45,0.7837814689
3600,0.9410000443,121.91,0.7946768999
3700,0.9410000443,124.31,0.4850186408
3800,0.8270000219,127.08,0.4842423499
3900,0.8270000219,129.53,0.4375514984
4000,1.219000101,131.11,0.309940815
4100,1.219000101,132.74,0.2967736423
4200,1.462000012,134.45,0.3309255838
4300,1.462000012,135.45,0.205646649
4400,1.547000051,136.66,0.2352927178
4500,1.547000051,137.85,0.2379343063
4600,1.75300014,138.87,0.2068157345
4700,1.75300014,140.05,0.2345567197
4800,1.522000074,141.38,0.2691621482
4900,1.522000074,142.86,0.2958744466
5000,1.636000037,144.08,0.2570945621
5100,1.636000037,145.35,0.2524358928
5200,1.619000077,146.23,0.1780522615
5300,1.619000077,147.48,0.2307484895
5400,1.573000073,149.12,0.3226275444
5500,1.573000073,150.25,0.2319915891
5600,1.586000085,151.64,0.2492228299
5700,1.586000085,155.2,0.5558903217
5800,0.7910000086,163.81,1.456897855
5900,0.7910000086,173.49,1.727073908
6000,0.4630000293,184.64,1.958984971
6100,0.4630000293,192.39,1.490788221
6200,0.3280000091,197.85,0.9588108063
6300,0.3280000091,203.93,1.068108559
6400,0.255000025,210.17,1.155508637
6500,0.255000025,216.15,1.060995579
6600,0.1980000138,223.18,1.247294784
6700,0.1980000138,230.44,1.309361577
6800,0.1980000138,239.14,1.514082193
6900,0.1980000138,248.31,1.635307312
7000,0.27700001,258.88,1.857093573
7100,0.27700001,269.84,1.958459496
7200,0.01700000092,278.22,1.564626932
7300,0.01700000092,279.46,0.3264901936
7400,0.4770000279,279.92,0.02770701982
7500,0.4770000279,280.24,0.07380798459
7600,0.5690000057,281.21,0.1554587483
7700,0.5690000057,283.2,0.3403221965
7800,0.9550000429,285.98,0.4753856659
7900,0.9550000429,288.57,0.4574642479
8000,0.9850000739,291.62,0.5164736509
8100,0.9850000739,294.29,0.4697973132
8200,1.061000109,296.99,0.4680681229
8300,1.061000109,300.15,0.5595515966
8400,1.007000089,302.88,0.4772282839
8500,1.007000089,305.83,0.5000240207
8600,1.133000016,308.82,0.5082188845
8700,1.133000016,311.92,0.5322602987
8800,1.065000057,315.02,0.5013602972
8900,1.065000057,317.76,0.4627949893
9000,1.099000096,320.15,0.4039482176
9100,1.099000096,322.55,0.3942353725
9200,1.050999999,324.85,0.3817512989
9300,1.050999999,326.14,0.2350476086
9400,0.7810000181,327.57,0.209263593
9500,0.7810000181,330.24,0.4279285669
9600,1.141000032,333.19,0.5054910183
9700,1.141000032,335.04,0.3346564174
9800,1.445000052,336.69,0.2681354582
9900,1.445000052,339.2,0.4177694321
10000,1.646000028,341.41,0.3875685036
10100,1.646000028,343.09,0.2900945842
10200,1.383000016,345.61,0.4393284023
10300,1.383000016,348.18,0.4541711509
10400,1.535000086,350.94,0.488153249
10500,1.535000086,353.34,0.4283815622
10600,1.688000083,355.67,0.4129325151
10700,1.688000083,357.34,0.2853422761
10800,1.517000079,359.13,0.3001269698
10900,1.517000079,0.88,0.3021484017
11000,1.642000079,2.76,0.3186297417
11100,1.642000079,4.61,0.3197227716
11200,1.682000041,6.37,0.301666528
11300,1.682000041,7.21,0.1430126578
11400,0.202000007,8.66,0.2154946029
11500,0.202000007,10.08,0.2476109415
11600,1.057000041,12.06,0.3469715118
11700,1.057000041,14.43,0.4088906646
11800,1.321000099,16.98,0.4505187273
11900,1.321000099,18.72,0.3170053959
12000,1.603000045,20.17,0.2482692003
12100,1.603000045,21.44,0.2157333791
12200,1.536000013,22.93,0.2502978444
12300,1.536000013,24.63,0.2978619337
12400,1.6450001,25.95,0.2423801571
12500,1.6450001,27.55,0.2764076293
12600,1.297000051,29.12,0.2851955295
12700,1.297000051,30.76,0.2870984375
12800,1.625000119,32.61,0.3305851519
12900,1.625000119,33.98,0.2495498657
13000,1.609000087,35.57,0.2661502063
13100,1.609000087,37.16,0.3172634542
13200,0.33100003,39.74,0.4238924086
13300,0.33100003,42.4,0.4626388252
13400,1.083000064,44.71,0.3844891489
13500,1.083000064,46.31,0.3127244413
13600,1.38500011,47.26,0.159885034
13700,1.38500011,48.95,0.2989450991
13800,1.616000056,49.75,0.1612288207
13900,1.616000056,50.86,0.1921233982
14000,1.512000084,52,0.2141798735
14100,1.512000084,53.53,0.2688890696
14200,1.563000083,54.82,0.2445337325
14300,1.563000083,56.53,0.2775883973
14400,1.57400012,58.1,0.2656765878
14500,1.57400012,58.8,0.1485662758
14600,1.578000069,59.72,0.1594151706
14700,1.578000069,60.64,0.1751448661
14800,0.05700000376,57.77,-0.4270038009
14900,0.05700000376,53.27,-0.8142772913
15000,0.6560000181,54.06,0.03460031375
15100,0.6560000181,55.25,0.2621459067
15200,1.185000062,56.42,0.2131456137
15300,1.185000062,57.51,0.1804175973
15400,1.362000108,58.66,0.2234694958
15500,1.362000108,59.85,0.1864889115
15600,1.362000108,61.31,0.2786990702
15700,1.362000108,62.59,0.2405343503
15800,1.489000082,63.81,0.2106686532
15900,1.489000082,65.16,0.2480134964
16000,1.339000106,66.59,0.261089474
16100,1.339000106,67.87,0.225574106
16200,1.363000035,69.22,0.2430075109
16300,1.363000035,70.35,0.2006665766
16400,1.52700007,71.33,0.164653033
16500,1.52700007,71.81,0.1189125106
16600,0.3790000081,70.17,-0.2947470844
16700,0.3790000081,69.58,-0.1517429352
16800,0.55400002,70.93,0.2437776774
16900,0.55400002,71.66,0.1407613307
17000,0.8960000277,72.8,0.181305185
17100,0.8960000277,73.52,0.1452135593
17200,0.9950000644,74.71,0.1916049421
17300,0.9950000644,76.06,0.2390740961
17400,1.076000094,77.23,0.2122739702
17500,1.076000094,78.44,0.2047689855
17600,0.932000041,79.8,0.2325405926
17700,0.932000041,81.15,0.2458223552
17800,1.077000022,82.05,0.1727477312
17900,1.077000022,82.69,0.1237244979
